actor_id,first_name,last_name,last_update
1,Penelope,Guiness,2006-02-15
2,Nick,Wahlberg,2006-02-15
3,Ed,Chase,2006-02-15
4,Jennifer,Davis,2006-02-15
5,Johnny,Lollobrigida,2006-02-15
6,Bette,Nicholson,2006-02-15
7,Grace,Mostel,2006-02-15
8,Matthew,Johansson,2006-02-15
9,Joe,Swank,2006-02-15
10,Christian,Gable,2006-02-15
11,Zero,Cage,2006-02-15
12,Karl,Berry,2006-02-15
13,Uma,Wood,2006-02-15
14,Vivien,Bergen,2006-02-15
15,Cuba,Olivier,2006-02-15
16,Fred,Costner,2006-02-15
17,Helen,Voight,2006-02-15
18,Dan,Torn,2006-02-15
19,Bob,Fawcett,2006-02-15
20,Lucille,Tracy,2006-02-15
21,Kirsten,Paltrow,2006-02-15
22,Elvis,Marx,2006-02-15
23,Sandra,Kilmer,2006-02-15
24,Cameron,Streep,2006-02-15
25,Kevin,Bloom,2006-02-15
26,Rip,Crawford,2006-02-15
27,Julia,Mcqueen,2006-02-15
28,Woody,Hoffman,2006-02-15
29,Alec,Wayne,2006-02-15
30,Sandra,Peck,2006-02-15
31,Sissy,Sobieski,2006-02-15
32,Tim,Hackman,2006-02-15
33,Milla,Peck,2006-02-15
34,Audrey,Olivier,2006-02-15
35,Judy,Dean,2006-02-15
36,Burt,Dukakis,2006-02-15
37,Val,Bolger,2006-02-15
38,Tom,Mckellen,2006-02-15
39,Goldie,Brody,2006-02-15
40,Johnny,Cage,2006-02-15
41,Jodie,Degeneres,2006-02-15
42,Tom,Miranda,2006-02-15
43,Kirk,Jovovich,2006-02-15
44,Nick,Stallone,2006-02-15
45,Reese,Kilmer,2006-02-15
46,Parker,Goldberg,2006-02-15
47,Julia,Barrymore,2006-02-15
48,Frances,Day-Lewis,2006-02-15
49,Anne,Cronyn,2006-02-15
50,Natalie,Hopkins,2006-02-15
51,Gary,Phoenix,2006-02-15
52,Carmen,Hunt,2006-02-15
53,Mena,Temple,2006-02-15
54,Penelope,Pinkett,2006-02-15
55,Fay,Kilmer,2006-02-15
56,Dan,Harris,2006-02-15
57,Jude,Cruise,2006-02-15
58,Christian,Akroyd,2006-02-15
59,Dustin,Tautou,2006-02-15
60,Henry,Berry,2006-02-15
61,Christian,Neeson,2006-02-15
62,Jayne,Neeson,2006-02-15
63,Cameron,Wray,2006-02-15
64,Ray,Johansson,2006-02-15
65,Angela,Hudson,2006-02-15
66,Mary,Tandy,2006-02-15
67,Jessica,Bailey,2006-02-15
68,Rip,Winslet,2006-02-15
69,Kenneth,Paltrow,2006-02-15
70,Michelle,Mcconaughey,2006-02-15
71,Adam,Grant,2006-02-15
72,Sean,Williams,2006-02-15
73,Gary,Penn,2006-02-15
74,Milla,Keitel,2006-02-15
75,Burt,Posey,2006-02-15
76,Angelina,Astaire,2006-02-15
77,Cary,Mcconaughey,2006-02-15
78,Groucho,Sinatra,2006-02-15
79,Mae,Hoffman,2006-02-15
80,Ralph,Cruz,2006-02-15
81,Scarlett,Damon,2006-02-15
82,Woody,Jolie,2006-02-15
83,Ben,Willis,2006-02-15
84,James,Pitt,2006-02-15
85,Minnie,Zellweger,2006-02-15
86,Greg,Chaplin,2006-02-15
87,Spencer,Peck,2006-02-15
88,Kenneth,Pesci,2006-02-15
89,Charlize,Dench,2006-02-15
90,Sean,Guiness,2006-02-15
91,Christopher,Berry,2006-02-15
92,Kirsten,Akroyd,2006-02-15
93,Ellen,Presley,2006-02-15
94,Kenneth,Torn,2006-02-15
95,Daryl,Wahlberg,2006-02-15
96,Gene,Willis,2006-02-15
97,Meg,Hawke,2006-02-15
98,Chris,Bridges,2006-02-15
99,Jim,Mostel,2006-02-15
100,Spencer,Depp,2006-02-15
101,Susan,Davis,2006-02-15
102,Walter,Torn,2006-02-15
103,Matthew,Leigh,2006-02-15
104,Penelope,Cronyn,2006-02-15
105,Sidney,Crowe,2006-02-15
106,Groucho,Dunst,2006-02-15
107,Gina,Degeneres,2006-02-15
108,Warren,Nolte,2006-02-15
109,Sylvester,Dern,2006-02-15
110,Susan,Davis,2006-02-15
111,Cameron,Zellweger,2006-02-15
112,Russell,Bacall,2006-02-15
113,Morgan,Hopkins,2006-02-15
114,Morgan,Mcdormand,2006-02-15
115,Harrison,Bale,2006-02-15
116,Dan,Streep,2006-02-15
117,Renee,Tracy,2006-02-15
118,Cuba,Allen,2006-02-15
119,Warren,Jackman,2006-02-15
120,Penelope,Monroe,2006-02-15
121,Liza,Bergman,2006-02-15
122,Salma,Nolte,2006-02-15
123,Julianne,Dench,2006-02-15
124,Scarlett,Bening,2006-02-15
125,Albert,Nolte,2006-02-15
126,Frances,Tomei,2006-02-15
127,Kevin,Garland,2006-02-15
128,Cate,Mcqueen,2006-02-15
129,Daryl,Crawford,2006-02-15
130,Greta,Keitel,2006-02-15
131,Jane,Jackman,2006-02-15
132,Adam,Hopper,2006-02-15
133,Richard,Penn,2006-02-15
134,Gene,Hopkins,2006-02-15
135,Rita,Reynolds,2006-02-15
136,Ed,Mansfield,2006-02-15
137,Morgan,Williams,2006-02-15
138,Lucille,Dee,2006-02-15
139,Ewan,Gooding,2006-02-15
140,Whoopi,Hurt,2006-02-15
141,Cate,Harris,2006-02-15
142,Jada,Ryder,2006-02-15
143,River,Dean,2006-02-15
144,Angela,Witherspoon,2006-02-15
145,Kim,Allen,2006-02-15
146,Albert,Johansson,2006-02-15
147,Fay,Winslet,2006-02-15
148,Emily,Dee,2006-02-15
149,Russell,Temple,2006-02-15
150,Jayne,Nolte,2006-02-15
151,Geoffrey,Heston,2006-02-15
152,Ben,Harris,2006-02-15
153,Minnie,Kilmer,2006-02-15
154,Meryl,Gibson,2006-02-15
155,Ian,Tandy,2006-02-15
156,Fay,Wood,2006-02-15
157,Greta,Malden,2006-02-15
158,Vivien,Basinger,2006-02-15
159,Laura,Brody,2006-02-15
160,Chris,Depp,2006-02-15
161,Harvey,Hope,2006-02-15
162,Oprah,Kilmer,2006-02-15
163,Christopher,West,2006-02-15
164,Humphrey,Willis,2006-02-15
165,Al,Garland,2006-02-15
166,Nick,Degeneres,2006-02-15
167,Laurence,Bullock,2006-02-15
168,Will,Wilson,2006-02-15
169,Kenneth,Hoffman,2006-02-15
170,Mena,Hopper,2006-02-15
171,Olympia,Pfeiffer,2006-02-15
172,Groucho,Williams,2006-02-15
173,Alan,Dreyfuss,2006-02-15
174,Michael,Bening,2006-02-15
175,William,Hackman,2006-02-15
176,Jon,Chase,2006-02-15
177,Gene,Mckellen,2006-02-15
178,Lisa,Monroe,2006-02-15
179,Ed,Guiness,2006-02-15
180,Jeff,Silverstone,2006-02-15
181,Matthew,Carrey,2006-02-15
182,Debbie,Akroyd,2006-02-15
183,Russell,Close,2006-02-15
184,Humphrey,Garland,2006-02-15
185,Michael,Bolger,2006-02-15
186,Julia,Zellweger,2006-02-15
187,Renee,Ball,2006-02-15
188,Rock,Dukakis,2006-02-15
189,Cuba,Birch,2006-02-15
190,Audrey,Bailey,2006-02-15
191,Gregory,Gooding,2006-02-15
192,John,Suvari,2006-02-15
193,Burt,Temple,2006-02-15
194,Meryl,Allen,2006-02-15
195,Jayne,Silverstone,2006-02-15
196,Bela,Walken,2006-02-15
197,Reese,West,2006-02-15
198,Mary,Keitel,2006-02-15
199,Julia,Fawcett,2006-02-15
200,Thora,Temple,2006-02-15
