category_id,name,last_update
1,Action,2006-02-15 04:46:00
2,Animation,2006-02-15 04:46:00
3,Children,2006-02-15 04:46:00
4,Classics,2006-02-15 04:46:00
5,Comedy,2006-02-15 04:46:00
6,Documentary,2006-02-15 04:46:00
7,Drama,2006-02-15 04:46:00
8,Family,2006-02-15 04:46:00
9,Foreign,2006-02-15 04:46:00
10,Games,2006-02-15 04:46:00
11,Horror,2006-02-15 04:46:00
12,Music,2006-02-15 04:46:00
13,New,2006-02-15 04:46:00
14,Sci-Fi,2006-02-15 04:46:00
15,Sports,2006-02-15 04:46:00
16,Travel,2006-02-15 04:46:00
