city_id,city,country_id,last_update,Country
1,A Coruña (La Coruña),87,2006-02-15 04:45:00,Spain
2,Abha,82,2006-02-15 04:45:00,Saudi Arabia
3,Abu Dhabi,101,2006-02-15 04:45:00,United Arab Emirates
4,Acuña,60,2006-02-15 04:45:00,Mexico
5,Adana,97,2006-02-15 04:45:00,Turkey
6,Addis Abeba,31,2006-02-15 04:45:00,Ethiopia
7,Aden,107,2006-02-15 04:45:00,Yemen
8,Adoni,44,2006-02-15 04:45:00,India
9,Ahmadnagar,44,2006-02-15 04:45:00,India
10,Akishima,50,2006-02-15 04:45:00,Japan
11,Akron,103,2006-02-15 04:45:00,United States
12,al-Ayn,101,2006-02-15 04:45:00,United Arab Emirates
13,al-Hawiya,82,2006-02-15 04:45:00,Saudi Arabia
14,al-Manama,11,2006-02-15 04:45:00,Bahrain
15,al-Qadarif,89,2006-02-15 04:45:00,Sudan
16,al-Qatif,82,2006-02-15 04:45:00,Saudi Arabia
17,Alessandria,49,2006-02-15 04:45:00,Italy
18,Allappuzha (Alleppey),44,2006-02-15 04:45:00,India
19,Allende,60,2006-02-15 04:45:00,Mexico
20,Almirante Brown,6,2006-02-15 04:45:00,Argentina
21,Alvorada,15,2006-02-15 04:45:00,Brazil
22,Ambattur,44,2006-02-15 04:45:00,India
23,Amersfoort,67,2006-02-15 04:45:00,Netherlands
24,Amroha,44,2006-02-15 04:45:00,India
25,Angra dos Reis,15,2006-02-15 04:45:00,Brazil
26,Anápolis,15,2006-02-15 04:45:00,Brazil
27,Antofagasta,22,2006-02-15 04:45:00,Chile
28,Aparecida de Goiânia,15,2006-02-15 04:45:00,Brazil
29,Apeldoorn,67,2006-02-15 04:45:00,Netherlands
30,Araçatuba,15,2006-02-15 04:45:00,Brazil
31,Arak,46,2006-02-15 04:45:00,Iran
32,Arecibo,77,2006-02-15 04:45:00,Puerto Rico
33,Arlington,103,2006-02-15 04:45:00,United States
34,Ashdod,48,2006-02-15 04:45:00,Israel
35,Ashgabat,98,2006-02-15 04:45:00,Turkmenistan
36,Ashqelon,48,2006-02-15 04:45:00,Israel
37,Asunción,73,2006-02-15 04:45:00,Paraguay
38,Athenai,39,2006-02-15 04:45:00,Greece
39,Atšinsk,80,2006-02-15 04:45:00,Russian Federation
40,Atlixco,60,2006-02-15 04:45:00,Mexico
41,Augusta-Richmond County,103,2006-02-15 04:45:00,United States
42,Aurora,103,2006-02-15 04:45:00,United States
43,Avellaneda,6,2006-02-15 04:45:00,Argentina
44,Bagé,15,2006-02-15 04:45:00,Brazil
45,Bahía Blanca,6,2006-02-15 04:45:00,Argentina
46,Baicheng,23,2006-02-15 04:45:00,China
47,Baiyin,23,2006-02-15 04:45:00,China
48,Baku,10,2006-02-15 04:45:00,Azerbaijan
49,Balašiha,80,2006-02-15 04:45:00,Russian Federation
50,Balikesir,97,2006-02-15 04:45:00,Turkey
51,Balurghat,44,2006-02-15 04:45:00,India
52,Bamenda,19,2006-02-15 04:45:00,Cameroon
53,Bandar Seri Begawan,16,2006-02-15 04:45:00,Brunei
54,Banjul,37,2006-02-15 04:45:00,Gambia
55,Barcelona,104,2006-02-15 04:45:00,Venezuela
56,Basel,91,2006-02-15 04:45:00,Switzerland
57,Bat Yam,48,2006-02-15 04:45:00,Israel
58,Batman,97,2006-02-15 04:45:00,Turkey
59,Batna,2,2006-02-15 04:45:00,Algeria
60,Battambang,18,2006-02-15 04:45:00,Cambodia
61,Baybay,75,2006-02-15 04:45:00,Philippines
62,Bayugan,75,2006-02-15 04:45:00,Philippines
63,Béchar,2,2006-02-15 04:45:00,Algeria
64,Beira,63,2006-02-15 04:45:00,Mozambique
65,Bellevue,103,2006-02-15 04:45:00,United States
66,Belém,15,2006-02-15 04:45:00,Brazil
67,Benguela,4,2006-02-15 04:45:00,Angola
68,Beni-Mellal,62,2006-02-15 04:45:00,Morocco
69,Benin City,69,2006-02-15 04:45:00,Nigeria
70,Bergamo,49,2006-02-15 04:45:00,Italy
71,Berhampore (Baharampur),44,2006-02-15 04:45:00,India
72,Bern,91,2006-02-15 04:45:00,Switzerland
73,Bhavnagar,44,2006-02-15 04:45:00,India
74,Bhilwara,44,2006-02-15 04:45:00,India
75,Bhimavaram,44,2006-02-15 04:45:00,India
76,Bhopal,44,2006-02-15 04:45:00,India
77,Bhusawal,44,2006-02-15 04:45:00,India
78,Bijapur,44,2006-02-15 04:45:00,India
79,Bilbays,29,2006-02-15 04:45:00,Egypt
80,Binzhou,23,2006-02-15 04:45:00,China
81,Birgunj,66,2006-02-15 04:45:00,Nepal
82,Bislig,75,2006-02-15 04:45:00,Philippines
83,Blumenau,15,2006-02-15 04:45:00,Brazil
84,Boa Vista,15,2006-02-15 04:45:00,Brazil
85,Boksburg,85,2006-02-15 04:45:00,South Africa
86,Botosani,78,2006-02-15 04:45:00,Romania
87,Botshabelo,85,2006-02-15 04:45:00,South Africa
88,Bradford,102,2006-02-15 04:45:00,United Kingdom
89,Brasília,15,2006-02-15 04:45:00,Brazil
90,Bratislava,84,2006-02-15 04:45:00,Slovakia
91,Brescia,49,2006-02-15 04:45:00,Italy
92,Brest,34,2006-02-15 04:45:00,France
