country_id,country,last_update
1,Afghanistan,2006-02-15
2,Algeria,2006-02-15
3,American Samoa,2006-02-15
4,Angola,2006-02-15
5,Anguilla,2006-02-15
6,Argentina,2006-02-15
7,Armenia,2006-02-15
8,Australia,2006-02-15
9,Austria,2006-02-15
10,Azerbaijan,2006-02-15
11,Bahrain,2006-02-15
12,Bangladesh,2006-02-15
13,Belarus,2006-02-15
14,Bolivia,2006-02-15
15,Brazil,2006-02-15
16,Brunei,2006-02-15
17,Bulgaria,2006-02-15
18,Cambodia,2006-02-15
19,Cameroon,2006-02-15
20,Canada,2006-02-15
21,Chad,2006-02-15
22,Chile,2006-02-15
23,China,2006-02-15
24,Colombia,2006-02-15
25,"Congo, The Democratic Republic of the",2006-02-15
26,Czech Republic,2006-02-15
27,Dominican Republic,2006-02-15
28,Ecuador,2006-02-15
29,Egypt,2006-02-15
30,Estonia,2006-02-15
31,Ethiopia,2006-02-15
32,Faroe Islands,2006-02-15
33,Finland,2006-02-15
34,France,2006-02-15
35,French Guiana,2006-02-15
36,French Polynesia,2006-02-15
37,Gambia,2006-02-15
38,Germany,2006-02-15
39,Greece,2006-02-15
40,Greenland,2006-02-15
41,Holy See (Vatican City State),2006-02-15
42,Hong Kong,2006-02-15
43,Hungary,2006-02-15
44,India,2006-02-15
45,Indonesia,2006-02-15
46,Iran,2006-02-15
47,Iraq,2006-02-15
48,Israel,2006-02-15
49,Italy,2006-02-15
50,Japan,2006-02-15
51,Kazakstan,2006-02-15
52,Kenya,2006-02-15
53,Kuwait,2006-02-15
54,Latvia,2006-02-15
55,Liechtenstein,2006-02-15
56,Lithuania,2006-02-15
57,Madagascar,2006-02-15
58,Malawi,2006-02-15
59,Malaysia,2006-02-15
60,Mexico,2006-02-15
61,Moldova,2006-02-15
62,Morocco,2006-02-15
63,Mozambique,2006-02-15
64,Myanmar,2006-02-15
65,Nauru,2006-02-15
66,Nepal,2006-02-15
67,Netherlands,2006-02-15
68,New Zealand,2006-02-15
69,Nigeria,2006-02-15
70,North Korea,2006-02-15
71,Oman,2006-02-15
72,Pakistan,2006-02-15
73,Paraguay,2006-02-15
74,Peru,2006-02-15
75,Philippines,2006-02-15
76,Poland,2006-02-15
77,Puerto Rico,2006-02-15
78,Romania,2006-02-15
79,Réunion,2006-02-15
80,Russian Federation,2006-02-15
81,Saint Vincent and the Grenadines,2006-02-15
82,Saudi Arabia,2006-02-15
83,Senegal,2006-02-15
84,Slovakia,2006-02-15
85,South Africa,2006-02-15
86,South Korea,2006-02-15
87,Spain,2006-02-15
88,Sri Lanka,2006-02-15
89,Sudan,2006-02-15
90,Sweden,2006-02-15
91,Switzerland,2006-02-15
92,Taiwan,2006-02-15
93,Tanzania,2006-02-15
94,Thailand,2006-02-15
95,Tonga,2006-02-15
96,Tunisia,2006-02-15
97,Turkey,2006-02-15
98,Turkmenistan,2006-02-15
99,Tuvalu,2006-02-15
100,Ukraine,2006-02-15
101,United Arab Emirates,2006-02-15
102,United Kingdom,2006-02-15
103,United States,2006-02-15
104,Venezuela,2006-02-15
105,Vietnam,2006-02-15
106,"Virgin Islands, U.S.",2006-02-15
107,Yemen,2006-02-15
108,Yugoslavia,2006-02-15
109,Zambia,2006-02-15
