film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1.00,Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,0,6,0.99,86,21,PG,"Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
2.00,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,0,3,4.99,48,13,G,"Trailers,Deleted Scenes",2006-02-15 05:03:00
3.00,Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,0,7,2.99,50,19,NC-17,"Trailers,Deleted Scenes",2006-02-15 05:03:00
4.00,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,0,5,2.99,117,27,G,"Commentaries,Behind the Scenes",2006-02-15 05:03:00
5.00,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,0,6,2.99,130,23,G,Deleted Scenes,2006-02-15 05:03:00
6.00,Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,0,3,2.99,169,18,PG,Deleted Scenes,2006-02-15 05:03:00
7.00,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,1,0,6,4.99,62,29,PG-13,"Trailers,Deleted Scenes",2006-02-15 05:03:00
8.00,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,1,0,6,4.99,54,16,R,Trailers,2006-02-15 05:03:00
9.00,Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,0,3,2.99,114,22,PG-13,"Trailers,Deleted Scenes",2006-02-15 05:03:00
10.00,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,0,6,4.99,63,25,NC-17,"Trailers,Deleted Scenes",2006-02-15 05:03:00
11.00,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,1,0,6,0.99,126,17,G,"Commentaries,Behind the Scenes",2006-02-15 05:03:00
12.00,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,1,0,6,0.99,136,23,PG,"Commentaries,Deleted Scenes",2006-02-15 05:03:00
13.00,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,1,0,4,4.99,150,22,PG,"Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
14.00,Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,1,0,6,0.99,94,24,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
15.00,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,0,5,2.99,46,11,NC-17,"Trailers,Commentaries,Behind the Scenes",2006-02-15 05:03:00
16.00,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,0,6,2.99,180,24,NC-17,"Trailers,Commentaries",2006-02-15 05:03:00
17.00,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,0,3,0.99,82,15,R,"Trailers,Behind the Scenes",2006-02-15 05:03:00
18.00,Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,1,0,6,0.99,57,28,PG-13,"Trailers,Behind the Scenes",2006-02-15 05:03:00
19.00,Amadeus Holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,0,6,0.99,113,21,PG,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
20.00,Amelie Hellfighters,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,1,0,4,4.99,79,24,R,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
21.00,American Circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,0,3,4.99,129,18,R,"Commentaries,Behind the Scenes",2006-02-15 05:03:00
22.00,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,0,6,2.99,85,11,G,"Commentaries,Behind the Scenes",2006-02-15 05:03:00
23.00,Anaconda Confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,0,3,0.99,92,10,R,"Trailers,Deleted Scenes",2006-02-15 05:03:00
24.00,Analyze Hoosiers,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,0,6,2.99,181,20,R,"Trailers,Behind the Scenes",2006-02-15 05:03:00
25.00,Angels Life,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,0,3,2.99,74,16,G,Trailers,2006-02-15 05:03:00
26.00,Annie Identity,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,0,3,0.99,86,16,G,"Commentaries,Deleted Scenes",2006-02-15 05:03:00
27.00,Anonymous Human,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,0,7,0.99,179,13,NC-17,"Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
28.00,Anthem Luke,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,0,5,4.99,91,17,PG-13,"Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
29.00,Antitrust Tomatoes,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,0,5,2.99,168,12,NC-17,"Trailers,Commentaries,Deleted Scenes",2006-02-15 05:03:00
30.00,Anything Savannah,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,0,4,2.99,82,28,R,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
31.00,Apache Divine,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,0,5,4.99,92,17,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:00
